code,designation,municipality,mrc
84050,Municipalité,Alleyn-et-Cawood,Pontiac
83090,Canton,Aumond,La Vallée-de-la-Gatineau
83045,Municipalité,Blue Sea,La Vallée-de-la-Gatineau
80115,Municipalité,Boileau,Papineau
83085,Municipalité,Bois-Franc,La Vallée-de-la-Gatineau
83050,Municipalité,Bouchette,La Vallée-de-la-Gatineau
80145,Municipalité,Bowman,Papineau
84005,Municipalité,Bristol,Pontiac
84025,Municipalité,Bryson,Pontiac
84030,Municipalité,Campbell's Bay,Pontiac
82020,Municipalité,Cantley,Les Collines-de-l'Outaouais
83904,Territoire non organisé,Cascades-Malignes,La Vallée-de-la-Gatineau
83040,Municipalité,Cayamant,La Vallée-de-la-Gatineau
82025,Municipalité,Chelsea,Les Collines-de-l'Outaouais
80103,Municipalité,Chénéville,Papineau
84090,Canton,Chichester,Pontiac
84015,Municipalité,Clarendon,Pontiac
83070,Municipalité,Déléage,La Vallée-de-la-Gatineau
83005,Municipalité,Denholm,La Vallée-de-la-Gatineau
83912,Territoire non organisé,Dépôt-Échouani,La Vallée-de-la-Gatineau
80135,Municipalité,Duhamel,Papineau
83075,Municipalité,Egan-Sud,La Vallée-de-la-Gatineau
80005,Municipalité,Fassett,Papineau
84060,Village,Fort-Coulonge,Pontiac
81017,Ville,Gatineau,Hors MRC
83032,Ville,Gracefield,La Vallée-de-la-Gatineau
83095,Municipalité,Grand-Remous,La Vallée-de-la-Gatineau
83015,Municipalité,Kazabazua,La Vallée-de-la-Gatineau
83802,Réserve indienne,Kitigan Zibi,Hors MRC (autochtones)
82005,Municipalité,L'Ange-Gardien,Les Collines-de-l'Outaouais
84035,Municipalité,L'Île-du-Grand-Calumet,Pontiac
84082,Municipalité,L'Isle-aux-Allumettes,Pontiac
82035,Municipalité,La Pêche,Les Collines-de-l'Outaouais
80130,Municipalité,Lac-des-Plages,Papineau
83906,Territoire non organisé,Lac-Lenôtre,La Vallée-de-la-Gatineau
83908,Territoire non organisé,Lac-Moselle,La Vallée-de-la-Gatineau
84902,Territoire non organisé,Lac-Nilgaut,Pontiac
83902,Territoire non organisé,Lac-Pythonga,La Vallée-de-la-Gatineau
83804,Réserve indienne,Lac-Rapide,Hors MRC (autochtones)
83020,Municipalité,Lac-Sainte-Marie,La Vallée-de-la-Gatineau
80095,Municipalité,Lac-Simon,Papineau
84040,Municipalité,Litchfield,Pontiac
80055,Canton,Lochaber,Papineau
80060,Canton,Lochaber-Partie-Ouest,Papineau
83010,Canton,Low,La Vallée-de-la-Gatineau
83065,Ville,Maniwaki,La Vallée-de-la-Gatineau
84065,Municipalité,Mansfield-et-Pontefract,Pontiac
80065,Municipalité,Mayo,Papineau
83060,Municipalité,Messines,La Vallée-de-la-Gatineau
83088,Municipalité,Montcerf-Lytton,La Vallée-de-la-Gatineau
80010,Municipalité,Montebello,Papineau
80090,Municipalité,Montpellier,Papineau
80085,Municipalité,Mulgrave-et-Derry,Papineau
80110,Municipalité,Namur,Papineau
80015,Municipalité,Notre-Dame-de-Bonsecours,Papineau
80020,Municipalité,Notre-Dame-de-la-Paix,Papineau
82010,Municipalité,Notre-Dame-de-la-Salette,Les Collines-de-l'Outaouais
84055,Municipalité,Otter Lake,Pontiac
80037,Municipalité,Papineauville,Papineau
80045,Municipalité,Plaisance,Papineau
82030,Municipalité,Pontiac,Les Collines-de-l'Outaouais
84020,Village,Portage-du-Fort,Pontiac
84100,Municipalité,Rapides-des-Joachims,Pontiac
80078,Municipalité,Ripon,Papineau
80027,Municipalité,Saint-André-Avellin,Papineau
80125,Municipalité,Saint-Émile-de-Suffolk,Papineau
80070,Municipalité,Saint-Sixte,Papineau
83055,Municipalité,Sainte-Thérèse-de-la-Gatineau,La Vallée-de-la-Gatineau
84010,Municipalité,Shawville,Pontiac
84095,Municipalité,Sheenboro,Pontiac
84045,Municipalité,Thorne,Pontiac
80050,Ville,Thurso,Papineau
80140,Municipalité,Val-des-Bois,Papineau
82015,Municipalité,Val-des-Monts,Les Collines-de-l'Outaouais
84070,Municipalité,Waltham,Pontiac
